8/7/2020
11:21:36 AM

0, CH+=0, CH-=199, Range=0-5, y=(a-1.625)/.32
1, CH+=1, CH-=199, Range=0-5, y=(b-1.63)/.33


Time	v0	v1	y0	y1
0.994000	1.424183	1.905167	-0.627554	0.833839
0.996000	1.211508	1.404276	-1.292161	-0.684013
0.998000	2.072334	1.545942	1.397918	-0.254721
1.000000	1.722940	1.419454	0.306062	-0.638017
1.002000	2.249563	1.955762	1.951758	0.987158
1.004000	0.943133	1.925405	-2.130833	0.895167
1.006000	0.983643	1.500406	-2.004241	-0.392708
1.008000	2.138162	1.551002	1.603630	-0.239389
1.010000	1.368482	1.384038	-0.801617	-0.745340
1.012000	2.760994	1.793858	3.549982	0.496539
1.014000	0.922879	1.981060	-2.194129	1.063817
1.016000	1.596348	1.798917	-0.089538	0.511871
1.018000	1.444438	1.459930	-0.564258	-0.515362
1.020000	1.687494	1.495347	0.195294	-0.408039
1.022000	2.254626	1.480168	1.967582	-0.454035
1.024000	1.469756	2.026595	-0.485138	1.201804
1.026000	1.084916	1.874810	-1.687761	0.741848
1.028000	0.897560	1.449811	-2.273249	-0.546026
1.030000	1.981188	1.566180	1.113086	-0.193394
