StartTime: 2020-12-15 14:02:19.073
address	Time(s)	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	Voltage(v)	hx	hy	hz
0x50	 14:02:21.552	-0.0161	-0.0237	1.0011	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.29	4.07	304	4525	-1822
0x50	 14:02:21.552	-0.0150	-0.0226	1.0005	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.29	4.07	305	4527	-1823
0x50	 14:02:21.552	-0.0150	-0.0226	1.0005	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.29	4.07	305	4527	-1824
0x50	 14:02:21.552	-0.0156	-0.0233	1.0000	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.26	4.07	305	4527	-1825
0x50	 14:02:21.552	-0.0156	-0.0233	1.0000	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.26	4.07	306	4529	-1824
0x50	 14:02:21.552	-0.0153	-0.0227	1.0000	0.0000	0.0000	0.0000	-1.5985	0.8514	36.6449	30.29	4.07	305	4531	-1825
0x50	 14:02:21.552	-0.0153	-0.0227	1.0000	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.29	4.07	305	4530	-1824
0x50	 14:02:21.552	-0.0155	-0.0233	0.9999	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.29	4.07	305	4528	-1823
0x50	 14:02:21.552	-0.0155	-0.0233	0.9999	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.29	4.07	304	4528	-1821
0x50	 14:02:21.553	-0.0156	-0.0225	1.0004	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.29	4.07	305	4527	-1820
0x50	 14:02:21.597	-0.0156	-0.0225	1.0004	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.29	4.07	304	4526	-1819
0x50	 14:02:21.597	-0.0160	-0.0226	1.0006	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.26	4.07	304	4527	-1817
0x50	 14:02:21.597	-0.0160	-0.0226	1.0006	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.26	4.07	305	4527	-1816
0x50	 14:02:21.597	-0.0160	-0.0226	1.0006	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.28	4.07	305	4526	-1817
0x50	 14:02:21.597	-0.0167	-0.0233	1.0004	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.28	4.07	305	4527	-1818
0x50	 14:02:21.662	-0.0167	-0.0233	1.0004	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.28	4.07	304	4527	-1818
0x50	 14:02:21.662	-0.0160	-0.0234	1.0010	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.26	4.07	304	4527	-1818
0x50	 14:02:21.662	-0.0160	-0.0234	1.0010	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.26	4.07	304	4527	-1818
0x50	 14:02:21.662	-0.0160	-0.0236	1.0010	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.27	4.07	305	4527	-1817
0x50	 14:02:21.662	-0.0160	-0.0236	1.0010	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.27	4.07	305	4528	-1818
0x50	 14:02:21.662	-0.0153	-0.0229	1.0001	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.35	4.07	304	4528	-1816
0x50	 14:02:21.669	-0.0153	-0.0229	1.0001	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.35	4.07	305	4527	-1815
0x50	 14:02:21.685	-0.0151	-0.0229	1.0004	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.28	4.07	304	4526	-1815
0x50	 14:02:21.685	-0.0151	-0.0229	1.0004	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.28	4.07	304	4527	-1816
0x50	 14:02:21.697	-0.0159	-0.0231	0.9999	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.29	4.07	304	4528	-1816
0x50	 14:02:21.717	-0.0159	-0.0231	0.9999	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.29	4.07	303	4527	-1815
0x50	 14:02:21.717	-0.0162	-0.0237	1.0007	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.28	4.07	303	4527	-1815
0x50	 14:02:21.759	-0.0162	-0.0237	1.0007	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.28	4.07	303	4527	-1816
0x50	 14:02:21.760	-0.0160	-0.0226	1.0005	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.29	4.07	303	4527	-1818
0x50	 14:02:21.774	-0.0160	-0.0226	1.0005	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.29	4.07	304	4527	-1818
0x50	 14:02:21.782	-0.0154	-0.0231	1.0007	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.29	4.07	304	4527	-1818
0x50	 14:02:21.844	-0.0154	-0.0231	1.0007	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.29	4.07	304	4526	-1817
0x50	 14:02:21.844	-0.0150	-0.0229	0.9995	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.29	4.07	304	4525	-1817
0x50	 14:02:21.845	-0.0150	-0.0229	0.9995	0.0000	0.0000	0.0000	-1.5930	0.8514	36.6449	30.29	4.07	304	4524	-1817
